"iter","mse"
1,0.013625090798517732
2,0.007713505911806362
3,0.005676080368463219
4,0.004522868964768691
5,0.003763221090452667
6,0.003229813736152143
7,0.0028071433575416146
8,0.002484669621261313
9,0.002238285643766061
10,0.002037367148589657
11,0.0018699383557543683
12,0.0017267452820109298
13,0.0016009769565391678
14,0.001493419208039734
15,0.0013967053165053302
16,0.0013134491799582618
17,0.0012410294976850655
18,0.001177877555194767
19,0.001121262350847444
20,0.0010711013643424142
21,0.001025117409332478
22,0.0009839000762462355
23,0.0009466814520352574
24,0.0009120476747085231
25,0.0008799119826688738
26,0.0008500071494292719
27,0.0008220363961760411
28,0.0007954252503841495
29,0.0007709320695897301
30,0.0007475909245592218
31,0.0007260449095836614
32,0.0007057552878227756
33,0.0006863199851514522
34,0.0006682223409679174
35,0.0006510517456308571
36,0.0006348118605784375
37,0.0006195144190277164
38,0.0006048936145611217
39,0.0005909525589232535
40,0.0005774586237897136
41,0.000564680517537317
42,0.0005524594760022047
43,0.0005407403639902802
44,0.0005295767238224009
45,0.0005187694484849882
46,0.0005082900477541166
47,0.000498270334814348
48,0.0004887393759396145
49,0.0004796845985706992
50,0.0004709702497784072
51,0.0004625324566424028
52,0.0004543539773930292
53,0.00044654959417834235
54,0.00043901504403710004
55,0.0004318015780941258
56,0.00042485993121141384
57,0.00041811414519403407
58,0.00041157262755860656
59,0.0004052338416165908
60,0.00039906664801982194
61,0.0003930982357307339
62,0.0003872696852291063
63,0.0003815641387890914
64,0.0003759933757840932
65,0.0003705486879643588
66,0.00036527741054941354
67,0.0003601576643929281
68,0.0003551469468223186
69,0.00035024781979634765
70,0.0003454928206688949
71,0.00034080080651738775
72,0.00033619809112394667
73,0.0003316931565075132
74,0.00032729486236882387
75,0.00032305089920377775
76,0.00031888729024456705
77,0.0003148110205057422
78,0.00031084408089008224
79,0.000306936490221796
80,0.0003031305999241747
81,0.00029942925669585254
82,0.000295808824511319
83,0.0002922911258038002
84,0.00028885740586553416
85,0.00028551473415293035
86,0.0002822368954485438
87,0.0002790121784499712
88,0.00027585054310867485
89,0.0002727801986859015
90,0.00026978888933665084
91,0.00026686094054937846
92,0.0002640172824770621
93,0.0002612437629052999
94,0.00025854153280785474
95,0.00025588739174808926
96,0.0002532942211003812
97,0.0002507572314008671
98,0.00024827652311516747
99,0.00024584443907384775
100,0.00024346052136907782
101,0.0002411169587102436
102,0.0002388127705746435
103,0.00023656044133770659
104,0.00023436169965384884
105,0.000232212556088598
106,0.00023008597021707507
107,0.00022799039723649033
108,0.00022593741692938615
109,0.00022391951571000283
110,0.0002219134985226508
111,0.00021994285103912496
112,0.00021800991913083345
113,0.0002161166787139172
114,0.00021424904814995864
115,0.00021242435221758478
116,0.0002106369769232231
117,0.00020887994021628377
118,0.0002071518316230628
119,0.00020546346492720697
120,0.00020379528185414543
121,0.00020215082096840462
122,0.00020053332249175493
123,0.00019894361573463142
124,0.00019738228070978502
125,0.00019583516869090063
126,0.0001943114972524691
127,0.00019281304975570434
128,0.00019133839620288912
